id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19662318,Your very own 'castle' in NDG!,5450306,Peter,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47918,-73.61941,Entire home/apt,170,7,0,,,2,0,0,
19662933,Beautiful 2 floor character loft,1971702,Elyse,,Ville-Marie,45.52146,-73.5557,Entire home/apt,100,3,3,2017-08-21,0.06,1,0,0,
19663557,In the heart of the Plateau (Great location),3563521,Cristobal,,Le Plateau-Mont-Royal,45.51856,-73.58343,Entire home/apt,100,2,0,,,1,0,0,
19672250,Room in flatshare near Lionel Groulx metro station,24411920,Gregory,,Le Sud-Ouest,45.4864,-73.57842,Private room,30,1,66,2020-03-28,1.22,2,0,0,
19672560,Spare room in cozy apt in downtown Montreal,3458706,Shadi,,Ville-Marie,45.52411,-73.55053,Private room,65,90,12,2019-05-20,0.23,1,331,0,
19673275,Loft du village,121564484,Nathanael,,Ville-Marie,45.52658,-73.55668,Private room,25,3,3,2017-11-12,0.06,1,0,0,
19674020,Appartement entier - 2 Chambres dans Parc-Ex.,71030429,Shaza,,Villeray-Saint-Michel-Parc-Extension,45.52668,-73.62259,Entire home/apt,150,2,1,2017-08-25,0.02,1,0,0,
19676710,"Dorval & Walking Distance to Airport, Room #1",137097964,Christiane,,Dorval,45.45153,-73.76367,Private room,58,1,208,2021-11-27,3.85,3,157,63,
19679067,Downtown Montreal Fully furnished apartment WIFI,72761895,Samuel,,Ville-Marie,45.49681,-73.58255,Entire home/apt,65,32,11,2021-04-10,0.21,75,345,2,
19679706,Great 2 bdrms close to anything you'll ever need!,15695386,Alex,,Le Plateau-Mont-Royal,45.53287,-73.5887,Entire home/apt,153,2,1,2017-08-06,0.02,1,0,0,
19680146,Charming and Arty House near Botanical Garden,5316182,Pierre-Yves,,Rosemont-La Petite-Patrie,45.56866,-73.57919,Entire home/apt,75,4,2,2018-01-04,0.04,1,0,0,
19680545,Montreal Apartment,86330084,Ibrahim,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46094,-73.6351,Entire home/apt,33,2,1,2017-07-19,0.02,1,0,0,
19682757,A  3 1/2 to rent,138633899,Chekir,,Le Sud-Ouest,45.48352,-73.56179,Entire home/apt,140,2,1,2021-08-28,0.28,1,60,1,
19683087,BIG PRIVATE ROOM IN DOWNTOWN MONTREAL,59264111,Lawrence,,Ville-Marie,45.51741,-73.55375,Entire home/apt,158,1,55,2019-09-01,1.02,1,0,0,
19691726,"Sunny room, big terrace in plateau mont-royal",84460162,Alexandre,,Le Plateau-Mont-Royal,45.52169,-73.58087,Private room,60,1,38,2019-08-10,0.71,1,0,0,
19694449,Lovely room in Quartier latin,138737403,Louise,,Ville-Marie,45.51364,-73.56365,Private room,58,1,1,2017-07-09,0.02,1,0,0,
19696625,Spacious 2 bedroom apartment St. Henri,138722919,Gill,,Le Sud-Ouest,45.48202,-73.57741,Entire home/apt,70,2,2,2017-07-21,0.04,1,0,0,
19700711,Sunny private room in a cosy apartment,17453167,Elise,,Villeray-Saint-Michel-Parc-Extension,45.54919,-73.62111,Private room,25,1,1,2017-08-09,0.02,2,0,0,
19700780,Downtown MTL 10th floor Apartment,89438232,Daniel,,Le Plateau-Mont-Royal,45.5079,-73.57647,Entire home/apt,100,2,1,2017-07-16,0.02,1,0,0,
19701974,"Au coeur de la ville, 3 ch., quartier Rosemont.",80576991,Amélie,,Rosemont-La Petite-Patrie,45.54772,-73.57993,Entire home/apt,79,5,6,2019-08-13,0.11,1,0,0,
19713742,Simple Moroccan Paradise,15935760,Erol & Jay,,Le Plateau-Mont-Royal,45.50819,-73.57295,Entire home/apt,81,1,170,2021-12-06,3.17,10,69,32,
19714769,Quiet and cosy room closed to the subway station,12501558,Adeline,,Outremont,45.51992,-73.61428,Private room,36,2,16,2018-06-12,0.30,1,79,0,
19717514,"Unwind in Style at a Luxurious, Modern Condo",58076590,Berish,,Le Plateau-Mont-Royal,45.52449,-73.60682,Private room,234,1,150,2021-11-15,2.80,24,94,17,
19719894,Votre pied-à-terre montréalais,18866980,Pierre-Elie,,Rosemont-La Petite-Patrie,45.54021,-73.6007,Entire home/apt,33,2,4,2017-11-07,0.07,1,0,0,
19720605,New apartment close to everything,15959869,Sami,,Ville-Marie,45.52541,-73.55786,Entire home/apt,200,3,3,2017-10-08,0.06,1,0,0,
19721891,Gorgeous & Comfy 1BR perfect for Business!,66340481,Daniel,,Ville-Marie,45.51049,-73.5622,Entire home/apt,79,30,1,2017-10-08,0.02,30,139,0,
19728679,Appart downtown montreal,41703564,Amin,,Le Plateau-Mont-Royal,45.51475,-73.56937,Entire home/apt,55,7,130,2021-11-16,2.50,1,106,13,
19731889,Small apartment in Downtown Montreal,62998200,Sabrina,,Ville-Marie,45.51087,-73.55899,Entire home/apt,47,2,47,2018-04-30,0.88,1,0,0,
